employee_id,employee_name,department_id,salary
1001,Employee_1001,5,68295
1002,Employee_1002,5,95654
1003,Employee_1003,1,84588
1004,Employee_1004,2,106465
1005,Employee_1005,4,50611
1006,Employee_1006,3,54689
1007,Employee_1007,3,50954
1008,Employee_1008,4,58762
1009,Employee_1009,1,71864
1010,Employee_1010,5,62034
1011,Employee_1011,5,84583
1012,Employee_1012,5,56150
1013,Employee_1013,4,87675
1014,Employee_1014,2,107110
1015,Employee_1015,4,65311
1016,Employee_1016,2,70519
1017,Employee_1017,5,52502
1018,Employee_1018,2,57227
1019,Employee_1019,5,87901
1020,Employee_1020,4,77460
1021,Employee_1021,4,116146
1022,Employee_1022,2,83225
1023,Employee_1023,3,90728
1024,Employee_1024,3,90499
1025,Employee_1025,5,53618
1026,Employee_1026,3,99969
1027,Employee_1027,5,78318
1028,Employee_1028,5,95809
1029,Employee_1029,4,113735
1030,Employee_1030,1,56727
1031,Employee_1031,3,96996
1032,Employee_1032,4,104023
1033,Employee_1033,5,72897
1034,Employee_1034,4,103673
1035,Employee_1035,3,84557
1036,Employee_1036,2,90964
1037,Employee_1037,3,78230
1038,Employee_1038,2,76605
1039,Employee_1039,3,117262
1040,Employee_1040,5,116967
1041,Employee_1041,5,93555
1042,Employee_1042,4,84456
1043,Employee_1043,1,74055
1044,Employee_1044,1,71149
1045,Employee_1045,1,119998
1046,Employee_1046,1,81530
1047,Employee_1047,5,87082
1048,Employee_1048,4,112001
1049,Employee_1049,5,52902
1050,Employee_1050,3,69473
1051,Employee_1051,2,67091
1052,Employee_1052,2,72505
1053,Employee_1053,2,75883
1054,Employee_1054,4,99812
1055,Employee_1055,2,64551
1056,Employee_1056,4,62241
1057,Employee_1057,2,82142
1058,Employee_1058,5,53349
1059,Employee_1059,4,64942
1060,Employee_1060,3,66488
1061,Employee_1061,4,80524
1062,Employee_1062,5,114983
1063,Employee_1063,1,94282
1064,Employee_1064,4,52767
1065,Employee_1065,2,78107
1066,Employee_1066,4,76183
1067,Employee_1067,2,98108
1068,Employee_1068,2,80491
1069,Employee_1069,5,80808
1070,Employee_1070,3,59719
1071,Employee_1071,3,102573
1072,Employee_1072,3,72737
1073,Employee_1073,1,61817
1074,Employee_1074,4,82294
1075,Employee_1075,4,69051
1076,Employee_1076,2,76322
1077,Employee_1077,4,96306
1078,Employee_1078,4,70435
1079,Employee_1079,4,104112
1080,Employee_1080,4,59664
1081,Employee_1081,3,103324
1082,Employee_1082,4,66856
1083,Employee_1083,3,113872
1084,Employee_1084,3,83896
1085,Employee_1085,1,93589
1086,Employee_1086,5,90242
1087,Employee_1087,3,116194
1088,Employee_1088,2,119352
1089,Employee_1089,5,79224
1090,Employee_1090,3,74050
1091,Employee_1091,4,95070
1092,Employee_1092,5,115920
1093,Employee_1093,5,85743
1094,Employee_1094,5,82342
1095,Employee_1095,4,113476
1096,Employee_1096,3,93729
1097,Employee_1097,2,118812
1098,Employee_1098,4,115312
1099,Employee_1099,5,83001
1100,Employee_1100,5,98815
