order_id,customer_id,employee_id,product_id,quantity,amount
4001,2196,1004,3014,5,34617
4002,2209,1034,3049,3,35883
4003,2123,1095,3040,5,48066
4004,2210,1043,3012,2,49090
4005,2010,1046,3019,2,18487
4006,2289,1060,3046,3,41862
4007,2086,1033,3025,9,16962
4008,2137,1075,3028,10,49367
4009,2166,1021,3020,4,9053
4010,2114,1073,3031,4,19435
4011,2155,1087,3038,4,45020
4012,2157,1024,3014,4,11868
4013,2174,1026,3046,6,8229
4014,2044,1099,3009,5,15783
4015,2117,1015,3042,3,25880
4016,2215,1018,3040,10,34723
4017,2073,1098,3026,9,45593
4018,2125,1004,3029,10,45823
4019,2126,1068,3027,5,9225
4020,2272,1016,3043,5,5291
4021,2246,1008,3009,2,7773
4022,2214,1035,3008,7,15951
4023,2152,1092,3031,3,46041
4024,2031,1020,3029,4,12586
4025,2148,1098,3028,6,44538
4026,2150,1076,3021,7,38939
4027,2135,1066,3027,8,46674
4028,2018,1055,3028,9,11654
4029,2130,1021,3006,9,46076
4030,2063,1038,3049,1,12500
4031,2092,1078,3029,9,43545
4032,2259,1009,3029,3,45130
4033,2257,1032,3023,8,28907
4034,2075,1020,3037,9,42774
4035,2039,1013,3032,9,7560
4036,2076,1048,3045,4,48280
4037,2054,1090,3024,5,28331
4038,2212,1045,3026,9,26518
4039,2152,1076,3035,3,17521
4040,2168,1027,3027,10,3120
4041,2178,1018,3003,8,7262
4042,2063,1070,3025,7,34611
4043,2126,1039,3009,2,32802
4044,2072,1082,3022,4,30017
4045,2148,1050,3010,7,28523
4046,2098,1011,3046,9,23854
4047,2119,1071,3008,3,15280
4048,2149,1083,3035,5,27010
4049,2152,1028,3021,8,43542
4050,2232,1023,3031,4,36256
4051,2288,1076,3008,4,14149
4052,2174,1029,3041,3,14793
4053,2001,1030,3004,7,8023
4054,2138,1042,3030,1,25757
4055,2295,1014,3017,3,33135
4056,2234,1013,3008,8,47717
4057,2048,1060,3039,3,30960
4058,2082,1037,3044,5,46739
4059,2158,1003,3049,3,45987
4060,2065,1003,3043,9,49886
4061,2163,1048,3026,3,23053
4062,2235,1041,3010,5,26251
4063,2103,1084,3030,10,30633
4064,2076,1062,3006,10,39804
4065,2203,1083,3006,5,41370
4066,2285,1048,3014,9,44905
4067,2210,1069,3031,9,15691
4068,2153,1029,3026,3,36666
4069,2278,1007,3018,4,12607
4070,2226,1071,3038,1,37028
4071,2143,1043,3024,8,9259
4072,2203,1091,3043,6,30023
4073,2199,1045,3036,5,38949
4074,2100,1010,3050,2,20074
4075,2181,1031,3050,8,12988
4076,2028,1095,3039,6,26364
4077,2161,1067,3048,1,1562
4078,2178,1050,3007,4,21303
4079,2273,1032,3046,5,23462
4080,2009,1043,3008,9,24432
4081,2276,1012,3025,10,2767
4082,2291,1037,3027,7,38182
4083,2107,1007,3010,10,29085
4084,2018,1011,3046,9,37442
4085,2211,1087,3041,2,20357
4086,2100,1093,3039,10,9031
